PaperId,Essential,Worthwhile,Unimportant,Unwise,ZeroRating,NotShown,PosRatings,NegRatings,TotalRatings
248,2,5,6,0,0,137,7,6,13
100,7,5,0,0,1,137,12,0,12
108,1,9,0,1,0,139,10,1,11
39,1,6,3,0,0,140,7,3,10
102,1,6,3,0,2,138,7,3,10
104,2,4,4,0,1,139,6,4,10
177,8,2,0,0,0,140,10,0,10
203,6,3,1,0,0,140,9,1,10
209,0,4,5,1,0,140,4,6,10
275,3,5,2,0,0,140,8,2,10
322,1,6,2,1,0,140,7,3,10
327,2,5,2,1,0,140,7,3,10
350,1,4,5,0,0,140,5,5,10
392,2,5,3,0,0,140,7,3,10
416,1,8,1,0,0,140,9,1,10
10,4,4,1,0,0,141,8,1,9
61,2,6,1,0,0,141,8,1,9
105,4,2,2,1,1,140,6,3,9
201,4,4,1,0,0,141,8,1,9
236,3,4,2,0,0,141,7,2,9
311,0,4,4,1,0,141,4,5,9
315,3,3,2,1,0,141,6,3,9
323,4,4,1,0,0,141,8,1,9
413,2,3,4,0,0,141,5,4,9
21,2,2,4,0,0,142,4,4,8
24,5,1,2,0,0,142,6,2,8
32,2,5,0,1,0,142,7,1,8
63,5,1,2,0,0,142,6,2,8
80,4,3,1,0,1,141,7,1,8
82,2,5,1,0,0,142,7,1,8
87,2,4,1,1,0,142,6,2,8
89,4,2,1,1,0,142,6,2,8
91,2,4,2,0,0,142,6,2,8
125,3,4,1,0,0,142,7,1,8
142,4,3,1,0,0,142,7,1,8
161,6,1,1,0,0,142,7,1,8
172,1,4,3,0,1,141,5,3,8
191,1,6,1,0,0,142,7,1,8
196,0,4,4,0,0,142,4,4,8
235,2,4,2,0,1,141,6,2,8
240,2,2,2,2,0,142,4,4,8
307,0,1,7,0,0,142,1,7,8
319,1,6,0,1,0,142,7,1,8
334,0,3,5,0,0,142,3,5,8
340,2,5,1,0,0,142,7,1,8
344,5,1,2,0,0,142,6,2,8
347,1,3,3,1,0,142,4,4,8
370,4,3,1,0,0,142,7,1,8
389,1,3,4,0,0,142,4,4,8
394,1,3,4,0,0,142,4,4,8
418,2,1,4,1,0,142,3,5,8
424,3,4,1,0,0,142,7,1,8
11,3,4,0,0,1,142,7,0,7
13,2,4,1,0,0,143,6,1,7
23,4,2,0,1,1,142,6,1,7
28,1,4,2,0,0,143,5,2,7
30,1,4,2,0,0,143,5,2,7
41,2,4,0,1,0,143,6,1,7
64,1,4,2,0,0,143,5,2,7
78,1,4,2,0,0,143,5,2,7
116,1,6,0,0,0,143,7,0,7
117,2,4,1,0,1,142,6,1,7
121,3,4,0,0,1,142,7,0,7
130,1,6,0,0,0,143,7,0,7
135,1,3,2,1,0,143,4,3,7
138,0,1,6,0,0,143,1,6,7
141,1,4,2,0,1,142,5,2,7
147,3,4,0,0,0,143,7,0,7
163,1,2,3,1,0,143,3,4,7
169,2,1,4,0,0,143,3,4,7
184,3,3,1,0,0,143,6,1,7
194,3,4,0,0,0,143,7,0,7
198,4,1,2,0,0,143,5,2,7
208,0,4,3,0,0,143,4,3,7
