PaperId,Essential,Worthwhile,Unimportant,Unwise,ZeroRating,NotShown,PosRatings,NegRatings,TotalRatings,Venue,Year,TotalPages,IndTrack,AcadVsInd,Title,Authors,Summary
248,2,5,6,0,0,137,7,6,13,ICSE,2014,10,No,Academic,Requirements fixation,"Rahul Mohanani, Paul Ralph, Ben Shreeve",An experiment with students on the effects of present customer desires as requirements or as ideas on design creativity
100,7,5,0,0,1,137,12,0,12,RE,2011,10,No,Academic,Risk and argument: A risk-based argumentation method for practical security,"Franqueira, V.N.L.; Thein Than Tun; Yijun Yu; Wieringa, R.; Nuseibeh, B.",A method for risk assessment in context of security requirements in order to guide the security argumentation in identifying rebuttals and mitigations for security requirements satisfaction.
108,1,9,0,1,0,139,10,1,11,RE,2011,10,No,Academic,Finding incremental solutions for evolving requirements,"Ernst, N.A.; Borgida, A.; Jureta, I.",A method for finding desirable design solutions as the requirements change by reusing parts of old solutions in order to minimize the effort required to implement new solutions.
39,1,6,3,0,0,140,7,3,10,RE,2010,10,No,Academic,Automated Requirements Traceability: The Study of Human Analysts,"Cuddeback, D.; Dekhtyar, A.; Hayes, J.H.",An experiment with students on investigating if human analysts make the right decisions when reviewing requirements traceability matrices generated by automated techniques
102,1,6,3,0,2,138,7,3,10,RE,2011,6,Yes,Mixed,Reconciling requirements and architectures with the CBSP approach in an iPhone app project,"Vogl, H.; Lehner, K.; Grunbacher, P.; Egyed, A.",An experience report on applying component-bus-system-properties in mobile applications in order to refine software requirements to software architectures.
104,2,4,4,0,1,139,6,4,10,RE,2011,10,No,Academic,Structured and unobtrusive observation of anonymous users and their context for requirements elicitation,"Brill, O.; Knauss, E.",A method for eliciting requirements for context-adaptive systems based on observing anonymous users in order to increase the representativeness of the requirements.
177,8,2,0,0,0,140,10,0,10,ICSE,2013,10,No,Academic,Analysis of user comments: an approach for software requirements evolution,"Laura V. Galvis Carreto, Kristina Winbladh",A method for analysing large sets of user feedback in order to extract new/changed requirements for next versions
203,6,3,1,0,0,140,9,1,10,REFSQ,2013,15,No,Academic,Requirements traceability across organizational boundaries - a survey and taxonomy,"Rempel, P.; Mader, P.; Kuschke, T.; Philippow, I.",An interview-based study with practitioners on requirements traceability across organizational boundaries in order to identify current needs and challenges.
209,0,4,5,1,0,140,4,6,10,RE,2013,10,No,Academic,Can requirements dependency network be used as early indicator of software integration bugs?,Junjie Wang; Juan Li; Qing Wang; Da Yang; He Zhang; Mingshu Li,A method for predicting integration bugs based on network measures calculated over requirements dependency networks
275,3,5,2,0,0,140,8,2,10,RE,2014,9,No,Academic,Towards feature-oriented requirements validation for automotive systems,"Jiale Zhou; Yue Lu; Lundqvist, K.; Lo&#x0308;nn, H.; Karlsson, D.; Bo Liwang",A method for specifying and validating feature-oriented requirement models in order to avoid behavioral inconsistencies between features.
322,1,6,2,1,0,140,7,3,10,ESEC/FSE,2015,10,No,Academic,Rule-based extraction of goal-use case models from text,"Tuong Huan Nguyen, John C. Grundy, Mohamed Almorsy",A method for automatically extracting goal and use case models from natural language requirements documents in order to support further analysis of the extracted models.
327,2,5,2,1,0,140,7,3,10,REFSQ,2015,16,No,Academic,Estimating the Implementation Risk of Requirements in Agile Software Development Projects with Traceability Metrics,"Rempel, P.; Ma¨der, P.",A set of metrics for assessing and quantifying requirement relations in agile development in order to estimate implementation risk of requirements. 
350,1,4,5,0,0,140,5,5,10,RE,2015,10,No,Academic,A requirements monitoring model for systems of systems,"Vierhauser, M.; Rabiser, R.; Grunbacher, P.; Aumayr, B.",A model for monitoring the compliance of a System of Systems (SoS) with its requirements at runtime.
392,2,5,3,0,0,140,7,3,10,REFSQ,2016,17,No,Academic,Gamified Requirements Engineering: Model and Experimentation,"Philipp Lombriser, Fabiano Dalpiaz, Garm Lucassen, Sjaak Brinkkemper","A model for relating gamification, stakeholder engagement and RE performance in agile processes in order to increase stakeholder engagement adequately in each RE phase."
416,1,8,1,0,0,140,9,1,10,RE,2016,10,No,Academic,Challenging Incompleteness of Performance Requirements by Sentence Pattern,"Jonas Eckhardt,Andreas Vogelsang,Henning Femmer and Philipp Mager",A framework for specifying performance requirements based on sentence patterns in order to reduce their level of incompleteness.
10,4,4,1,0,0,141,8,1,9,REFSQ,2010,14,No,Academic,Evaluation of a Method for Proactively Managing the Evolving Scope of a Software Product Line,"Villela, K.; Dörr, J.; John, I.",An experiment with practitioners for evaluating the adequacy and feasibility of an existing software product line design method in order to prepare software product lines for likely future adaptation needs
