PaperID,Essential,Worthwhile,Unimportant,Unwise,ZeroRating,NotShown,PosRatings,NegRatings,TotalRatings
248,2,5,6,0,0,141,7,6,13
100,7,5,0,0,1,141,12,0,12
39,1,6,4,0,0,143,7,4,11
104,2,5,4,0,1,142,7,4,11
108,1,9,0,1,0,143,10,1,11
177,8,3,0,0,0,143,11,0,11
102,1,6,3,0,2,142,7,3,10
203,6,3,1,0,0,144,9,1,10
209,0,4,5,1,0,144,4,6,10
275,3,5,2,0,0,144,8,2,10
322,1,6,2,1,0,144,7,3,10
323,4,5,1,0,0,144,9,1,10
327,2,5,2,1,0,144,7,3,10
350,1,4,5,0,0,144,5,5,10
392,2,5,3,0,0,144,7,3,10
416,1,8,1,0,0,144,9,1,10
10,4,4,1,0,0,145,8,1,9
61,2,6,1,0,0,145,8,1,9
63,5,2,2,0,0,145,7,2,9
105,4,2,2,1,1,144,6,3,9
172,2,4,3,0,1,144,6,3,9
201,4,4,1,0,0,145,8,1,9
236,3,4,2,0,0,145,7,2,9
311,0,4,4,1,0,145,4,5,9
315,3,3,2,1,0,145,6,3,9
413,2,3,4,0,0,145,5,4,9
18,2,6,0,0,1,145,8,0,8
21,2,2,4,0,0,146,4,4,8
24,5,1,2,0,0,146,6,2,8
30,1,5,2,0,0,146,6,2,8
32,2,5,0,1,0,146,7,1,8
80,4,3,1,0,1,145,7,1,8
82,2,5,1,0,0,146,7,1,8
87,2,4,1,1,0,146,6,2,8
89,4,2,1,1,0,146,6,2,8
91,2,4,2,0,0,146,6,2,8
116,1,7,0,0,0,146,8,0,8
125,3,4,1,0,0,146,7,1,8
138,0,2,6,0,0,146,2,6,8
142,4,3,1,0,0,146,7,1,8
161,6,1,1,0,0,146,7,1,8
191,1,6,1,0,0,146,7,1,8
196,0,4,4,0,0,146,4,4,8
228,0,6,2,0,0,146,6,2,8
235,2,4,2,0,1,145,6,2,8
240,2,2,2,2,0,146,4,4,8
307,0,1,7,0,0,146,1,7,8
319,1,6,0,1,0,146,7,1,8
334,0,3,5,0,0,146,3,5,8
340,2,5,1,0,0,146,7,1,8
344,5,1,2,0,0,146,6,2,8
347,1,3,3,1,0,146,4,4,8
370,4,3,1,0,0,146,7,1,8
387,1,6,1,0,0,146,7,1,8
389,1,3,4,0,0,146,4,4,8
394,1,3,4,0,0,146,4,4,8
418,2,1,4,1,0,146,3,5,8
422,0,5,2,1,1,145,5,3,8
424,3,4,1,0,0,146,7,1,8
11,3,4,0,0,1,146,7,0,7
13,2,4,1,0,0,147,6,1,7
23,4,2,0,1,1,146,6,1,7
27,3,4,0,0,0,147,7,0,7
28,1,4,2,0,0,147,5,2,7
41,2,4,0,1,0,147,6,1,7
64,1,4,2,0,0,147,5,2,7
78,1,4,2,0,0,147,5,2,7
117,2,4,1,0,1,146,6,1,7
121,3,4,0,0,1,146,7,0,7
130,1,6,0,0,0,147,7,0,7
135,1,3,2,1,0,147,4,3,7
141,1,4,2,0,1,146,5,2,7
147,3,4,0,0,0,147,7,0,7
151,1,6,0,0,0,147,7,0,7
163,1,2,3,1,0,147,3,4,7
169,2,1,4,0,0,147,3,4,7
184,3,3,1,0,0,147,6,1,7
194,3,4,0,0,0,147,7,0,7
198,4,1,2,0,0,147,5,2,7
200,4,0,3,0,1,146,4,3,7
