EvID,PaperID,Vote
2,10,Worthwhile
2,23,Unwise
2,49,Essential
2,64,Unimportant
2,68,Unwise
2,106,Unimportant
2,116,Worthwhile
2,138,Unimportant
2,173,Unimportant
2,198,Unimportant
2,235,Worthwhile
2,312,Worthwhile
2,389,Unimportant
2,400,Unwise
3,61,Essential
3,82,Worthwhile
3,108,Worthwhile
3,140,Unimportant
3,141,Worthwhile
3,142,Essential
3,154,Worthwhile
3,232,Unimportant
3,234,Essential
3,236,Worthwhile
3,368,Unimportant
3,371,Unimportant
3,404,Worthwhile
3,413,Unimportant
4,41,Worthwhile
4,72,Unimportant
4,102,Worthwhile
4,113,Unimportant
4,130,Worthwhile
4,194,Essential
4,207,Unimportant
4,221,Worthwhile
4,296,Unimportant
4,355,Unimportant
4,401,Worthwhile
4,418,Unimportant
4,429,Unimportant
4,431,Worthwhile
4,434,Unimportant
5,14,Worthwhile
5,15,Unimportant
5,31,Worthwhile
5,36,Worthwhile
5,177,Essential
5,198,Essential
5,234,Unimportant
5,236,Essential
5,281,Essential
5,287,Unimportant
5,320,Worthwhile
5,381,Worthwhile
5,392,Worthwhile
5,412,Unimportant
5,435,Unimportant
6,21,Unimportant
6,65,Worthwhile
6,86,Worthwhile
6,96,Unimportant
6,97,Unimportant
6,128,Worthwhile
6,138,Unimportant
6,151,Worthwhile
6,246,Worthwhile
6,285,Unimportant
6,310,Worthwhile
6,311,Worthwhile
6,315,Unimportant
6,327,Worthwhile
6,360,Worthwhile
7,26,Worthwhile
7,31,Unwise
7,65,Unimportant
7,104,Unimportant
7,135,Unimportant
7,211,Unimportant
7,236,Unimportant
7,256,Unimportant
7,275,Unimportant
7,358,Unimportant
7,392,Unimportant
7,407,Worthwhile
7,410,Unimportant
7,423,Unimportant
7,430,Unimportant
8,82,Unimportant
8,100,Worthwhile
8,105,Unimportant
8,117,Unimportant
8,173,Unimportant
8,179,Worthwhile
8,300,Unimportant
8,302,Essential
8,322,Worthwhile
8,336,Worthwhile
8,340,Essential
8,375,Essential
8,396,Essential
8,404,Unimportant
9,56,Unwise
9,86,Unimportant
9,120,Worthwhile
9,122,Worthwhile
9,135,Unwise
9,271,Worthwhile
9,281,Essential
9,282,Essential
9,294,Worthwhile
9,310,Unimportant
9,344,Unimportant
9,358,Worthwhile
9,361,Unwise
9,372,Worthwhile
9,427,Unwise
10,17,Essential
10,27,Worthwhile
10,28,Unimportant
10,36,Unimportant
10,108,Worthwhile
10,124,Essential
10,136,Unimportant
10,142,Essential
10,171,Unimportant
10,257,Unwise
10,315,Unwise
10,346,Essential
10,388,Worthwhile
10,405,Worthwhile
10,415,Worthwhile
11,29,Unimportant
11,70,Essential
11,88,Essential
11,108,Essential
11,154,Worthwhile
11,172,Worthwhile
11,207,Worthwhile
11,288,Worthwhile
11,296,Essential
11,315,Essential
11,320,Essential
11,322,Worthwhile
11,324,Essential
11,399,Worthwhile
12,9,Unimportant
12,37,Unimportant
12,43,Worthwhile
12,161,Essential
12,220,Unwise
12,254,Worthwhile
12,259,Worthwhile
12,275,Essential
12,311,Unimportant
12,322,Worthwhile
12,328,Worthwhile
12,359,Unimportant
12,372,Essential
12,386,Worthwhile
12,406,Worthwhile
13,12,Worthwhile
13,17,Worthwhile
13,23,Essential
13,36,Essential
13,80,Worthwhile
13,154,Worthwhile
13,169,Unimportant
13,319,Worthwhile
13,334,Worthwhile
13,350,Essential
13,361,Worthwhile
13,422,Worthwhile
13,423,Worthwhile
13,429,Worthwhile
13,433,Worthwhile
14,14,Essential
14,30,Worthwhile
14,48,Worthwhile
14,177,Essential
14,189,Essential
14,191,Worthwhile
14,206,Essential
14,307,Unimportant
14,319,Unwise
14,344,Worthwhile
14,347,Unwise
14,392,Essential
14,394,Unimportant
14,435,Essential
15,69,Unimportant
15,83,Essential
15,104,Unimportant
15,113,Worthwhile
15,126,Essential
15,138,Unimportant
15,163,Unwise
15,167,Unimportant
15,212,Worthwhile
15,235,Worthwhile
15,271,Worthwhile
15,302,Essential
15,325,Unimportant
15,363,Worthwhile
15,372,Unimportant
16,1,Worthwhile
16,59,Unimportant
16,60,Unimportant
16,89,Unimportant
16,100,Essential
16,107,Worthwhile
16,130,Worthwhile
16,189,Essential
16,226,Worthwhile
16,230,Worthwhile
16,242,Unimportant
16,323,Unimportant
16,350,Unimportant
16,397,Unimportant
16,398,Unwise
17,28,Worthwhile
17,61,Essential
17,78,Unimportant
17,88,Unimportant
17,141,Essential
17,143,Worthwhile
17,149,Worthwhile
17,159,Worthwhile
17,219,Unimportant
17,285,Worthwhile
17,364,Essential
17,377,Worthwhile
17,394,Unimportant
17,400,Unimportant
18,9,Essential
18,12,Worthwhile
18,68,Essential
18,72,Worthwhile
18,103,Worthwhile
18,137,Essential
18,171,Essential
18,226,Essential
18,244,Essential
18,288,Essential
18,306,Worthwhile
18,328,Worthwhile
18,383,Worthwhile
18,403,Worthwhile
18,423,Essential
19,25,Worthwhile
19,36,Unimportant
19,85,Worthwhile
19,130,Essential
19,138,Unimportant
19,161,Unimportant
19,169,Worthwhile
19,214,Unimportant
19,221,Unwise
19,228,Worthwhile
19,238,Essential
19,266,Unimportant
19,297,Essential
19,326,Unimportant
19,393,Unimportant
20,16,Unimportant
20,19,Worthwhile
20,65,Worthwhile
20,120,Unimportant
20,168,Worthwhile
20,186,Unimportant
20,211,Worthwhile
20,240,Unwise
20,272,Worthwhile
