EvID,PaperID,Vote,v_5,v_6,v_6_coded,v_5_6_merged,v_11,v_11_coded,v_12,v_14,v_15,v_16,v_16_coded,v_15_16_merged,v_19,v_19_coded,v_124,v_118,v_119,v_120,v_121
2,10,Worthwhile,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,23,Unwise,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,49,Essential,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,64,Unimportant,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,68,Unwise,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,106,Unimportant,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,116,Worthwhile,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,138,Unimportant,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,173,Unimportant,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
2,198,Unimportant,Other (please specify),Product Management Coach,Manager,Manager,10,10.0,No,Medium (5-10),Other (please specify),Customer facing software products,(Business) information systems,(Business) information systems,Wide range (from automotive supplier to insurance company),Automotive,Germany,quoted,quoted,quoted,not quoted
