PaperID,lfdn,reasoning,Tag,level_1,level_2
2,116,Aligning requirements to regulatory standards is extremely important in many industry. Especially in the case when regulatory standards change. On the other hand establishing and maintaining trace-links is still cumbersume. ,reason:relevance,reason,relevance
9,110,Ambiguities are a critical source of issues. An automatic double check could help.,reason:relevance,reason,relevance
10,148,"The more we know about a product, the more we can say about it. Existing experience can be taken as basis for a lessons learn and to identify changes that might be introduced in order to better design products in the future and to predict what can happen",reason:relevance,reason,relevance
14,141,"These practices and artifacts are essential for our work, and are broadly applicable. Their ubiquity often means they are subject to unstated assumptions of their utility. Understanding how others have used them could provide insights into our own work. ",reason:relevance,reason,relevance
18,92,"the title sounds like advanced  RE  and further problem-solving -> only few articles/literature exist, especially in this combination",reason:relevance,reason,relevance
23,63,Personal experience shows that this exchange is both extremely helpful and rarely implemented systematically.,reason:relevance,reason,relevance
24,31,"There is a constant need to capture both the articulated requirements from the Users, and to balance against the design by the analyst.",reason:relevance,reason,relevance
24,55,"in my opinion, testing ist very important and shoulb be consider at the beginning of an study too.",reason:relevance,reason,relevance
31,24,Focus and particular attention to critical reqs,reason:relevance,reason,relevance
31,117,"This problem is not adressed in industry. However, almost everyone faces the problem.",reason:relevance,reason,relevance
46,70,We are currently in this transition and there are major differences in working with requirements per method. I'd be interested in the results of this study,reason:relevance,reason,relevance
49,2,"In my experience, framing requirements as a constraint for a creative problem solving process yields better solutions. Any help with establishing and improving such practices will likely help the industry provide better solutions. ",reason:relevance,reason,relevance
85,135,"We learned in the undergrad classes that the learned techniques are used in high risk software, but I haven't seen how it is used in my day to day work. So, it would be interesting to know.",reason:relevance,reason,relevance
87,61,this comprises a serious problem in industry today,reason:relevance,reason,relevance
98,86,relevant in daily project-life,reason:relevance,reason,relevance
98,126,"It's important to discuss and setup requirements to create the task from them. Once start working, any change becomes two tasks: undo and do.",reason:relevance,reason,relevance
100,16,Today Risk Assessment is essential for the success of many projects,reason:relevance,reason,relevance
100,57,"Probably because in my working environment we are aware that we should do more about security but have little experience with it. If a method could help teams with little knowledge and experience in dealing with security, it would be extremely valuable.",reason:relevance,reason,relevance
100,98,"If such a method does not exist yet, it seems to be important to have it.",reason:relevance,reason,relevance
103,84,I think it's key to determine and share insight on what are the actual business risks (what is crucial and what is not),reason:relevance,reason,relevance
104,44,Requirements are extremely important especially if it  can be considered adaptive or automatic ,reason:relevance,reason,relevance
124,114,Traceability in safety critical systems is THE important,reason:relevance,reason,relevance
126,56,dependecy between requirements is always crucial,reason:relevance,reason,relevance
144,89,because it's essential priorize requirements and verify its impact in the system and how much time will be spend in this new requirement,reason:relevance,reason,relevance
150,127,"We have a lot of old requirements that we do not know if they are outdated or not. These makes the number of requirements very large, so if we could find out which to update or remove by some automated method, we would gain much.",reason:relevance,reason,relevance
150,133,codes need keep in same steps with requirement.,reason:relevance,reason,relevance
161,34,"Even though models are used extensively, most requirements are specified using natural language. The better we become at writing in natural language for specifications, the better outcomes we will achieve.",reason:relevance,reason,relevance
177,85,very relevant to ensure that eg massive amounts of online feedback is actually processed (and not just ignored or skimmed over),reason:relevance,reason,relevance
183,42,Project success is a high-level goal. The assessment of requirements ambiguity to achieve this goal is critical.,reason:relevance,reason,relevance
184,78,Case studies are critical. Knowledge must be exposed based on Task or Jobs and outcomes and case study is a suitable tool for that purpuose,reason:relevance,reason,relevance
187,88,Need standardized formats for written communication that both software vendors/developers and business managers can understand,reason:relevance,reason,relevance
194,4,"This research addresses a very relevant issue for the industry, it may lead to important practical applications. ",reason:relevance,reason,relevance
215,35,"Terminology is essential for the interpretation of requirements, so a method for extraction of terms would be a great benefit. ",reason:relevance,reason,relevance
218,72,Improving quality of requirements is fundamental since it will drive the final solution's quality,reason:relevance,reason,relevance
242,79,This dilemma occurs constantly in practice: time vs. quality.,reason:relevance,reason,relevance
242,100,Coincide with my experience where time boundaries badly established due to random priorities is a  unnecessary pressure ,reason:relevance,reason,relevance
244,101,we can analyse it.,reason:relevance,reason,relevance
258,134,runtime system feedback could help anysis system requirement.IT is important to keep them consistent.,reason:relevance,reason,relevance
265,122,"Many of the times, conflicted requirements and different interests among stakeholders can lead projects to fail. It would be very important if we could map these questions before.",reason:relevance,reason,relevance
271,52,"We work with a group of users that differ a lot from each other, so it is important we define requirements based on persona`s and their differences. User experience is becoming more and more one of the highest priorities for our systems. ",reason:relevance,reason,relevance
