,summary,quality,people,process,documentation,SM_first,SM_second,SM_third,phase
1,"A method for automatically recovering software traceability links between various software artifacts based on topic modelling (requirements, design, code, bug reports, test cases)",traceability,,automation,general,,,,
2,A set of two techniques for improving the quality of traces generated between regulatory standards and product level requirements,traceability,,quality assurance,,,,,
3,A case study on evaluating a given technique for identifying and prioritising stakeholders in order to involve the right stakeholders in system analysis,,,prioritization,,,,,elicitation
4,An experience report on the development of a methodology and tools for the formalization and subsequent validation of specifications in a project for the public administration,,,formalization,general,,,,validation and verification
5,A document-driven study on the relevancy of clones in industrial requirements specifications and of clone detection as a requirements quality assurance technique,,,quality assurance,general,,,,
6,A case study on the effects of a highly ambiguous requirements document on project success,unambiguousness,,,,,,,
7,A data-driven study on the importance of quality requirements throughout the system lifecycle ,,,,,quality ====>,generic,,
8,An interview-based study with practitioners for identifying key challenges in aligning requirements and verification processes in order to assure that the developed software product satisfies customer requirements,,,quality assurance,,process,,,validation and verification
9,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts,unambiguousness,,automation,natural language,,,,
10,An experiment with practitioners for evaluating the adequacy and feasibility of an existing software product line design method in order to prepare software product lines for likely future adaptation needs,,,evolution,,,,,
11,A method for developing scenarios at multiple abstractions levels and check their consistency in order to specify complex software-intensive systems,consistency,,,scenarios,,,,validation and verification
12,An industrial evaluation based on benchmarks for comparing and assessing the suitability of two requirements prioritization techniques,,,prioritization,,,,,
13,A method for reasoning about likely sources of uncertainty in dynamically adaptive systems in order to apply the right adaptation strategies,uncertainty,,execution,,,,,
14,"A case study for collecting lessons learned from integrating Specification Templates, Collaborative Workshops, and Peer Reviews in RE",,,quality assurance,,,,,
15,A method for visualizing how cyber-attacks are performed in an architectural context in order to closely intertwine requirements and architecture in the development of secure software,,,visualization,,quality ====>,security,,
16,An experiment with students on the effectiveness of three creativity enhancement techniques to be used during requirements elicitation ,,creativity,,,,,,elicitation
17,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards,traceability,,"standardization, automation",natural language,,,,
18,A case study for validating a multi-level approach for planning and managing variability and reuse across independent product ranges in a product family,,,reuse,,,,,management
19,A method for using low-effort ad-hoc videos as a concrete representation of early requirements in order to avoid misunderstandings in the early phases of a project,understandability,,visualization,,,,,
20,A method for building domain ontologies suitable to guide requirements elicitation in order to reconcile gaps in the knowledge and common understanding among stakeholders,understandability,subjectivity,,,,,,elicitation
21,An interview-based study for explaining the causes of an unsatisfactory RE process in a company in order to identify improvement points,,,quality assurance,,process,,,
22,An analysis on the integration of non-functional requirements into model-driven development processes in order to include this type of requirements into such processes,,,modeling,,quality ====>,generic,,
23,A method for systematically and repeatedly exchanging requirements between manufacturers and suppliers.,,collaboration,,,,,,
24,A method for formally representing requirements in order to facilitate their analysis and serve as basis for the testing process,,,formalization,,tests,,,validation and verification
25,A multi-case study on agile prioritization and business value delivery in order to empirically corroborate or contradict some common assumptions on agile practices,,,prioritization,,,,,
26,"A process for creating traceability links between safety requirements, safety taxonomies, and safety risks in order to assure and recertify legacy safety-critical systems",traceability,,quality assurance,,quality ====>,other ====>,safety,
27,A method for assessing the completeness of specification documents in order to avoid subjectiveness in such completeness assessment,completeness,subjectivity,quality assurance,,,,,
28,An experience report on the value provided by requirements traceability in a commercial engineering company and a discussion of success factors,traceability,,,,,,,
