PaperID,Tag,level_1,level_2,level_3,PaperSummary
1,how:engineering:method,how,engineering,method,"A method for automatically recovering software traceability links between various software artifacts based on topic modelling (requirements, design, code, bug reports, test cases)"
2,how:engineering:method,how,engineering,method,A set of two techniques for improving the quality of traces generated between regulatory standards and product level requirements
3,how:science:observation,how,science,observation,A case study on evaluating a given technique for identifying and prioritising stakeholders in order to involve the right stakeholders in system analysis
4,how:perspective:experience,how,perspective,experience,An experience report on the development of a methodology and tools for the formalization and subsequent validation of specifications in a project for the public administration
5,how:science:observation,how,science,observation,A document-driven study on the relevancy of clones in industrial requirements specifications and of clone detection as a requirements quality assurance technique
6,how:science:observation,how,science,observation,A case study on the effects of a highly ambiguous requirements document on project success
7,how:science:observation,how,science,observation,A data-driven study on the importance of quality requirements throughout the system lifecycle
8,how:science:interrogation,how,science,interrogation,An interview-based study with practitioners for identifying key challenges in aligning requirements and verification processes in order to assure that the developed software product satisfies customer requirements
9,how:engineering:technology,how,engineering,technology,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts
10,how:science:intervention,how,science,intervention,An experiment with practitioners for evaluating the adequacy and feasibility of an existing software product line design method in order to prepare software product lines for likely future adaptation needs
11,how:engineering:method,how,engineering,method,A method for developing scenarios at multiple abstractions levels and check their consistency in order to specify complex software-intensive systems
12,how:science:observation,how,science,observation,An industrial evaluation based on benchmarks for comparing and assessing the suitability of two requirements prioritization techniques
13,how:engineering:method,how,engineering,method,A method for reasoning about likely sources of uncertainty in dynamically adaptive systems in order to apply the right adaptation strategies
14,how:science:observation,how,science,observation,"A case study for collecting lessons learned from integrating Specification Templates, Collaborative Workshops, and Peer Reviews in RE"
15,how:engineering:method,how,engineering,method,A method for visualizing how cyber-attacks are performed in an architectural context in order to closely intertwine requirements and architecture in the development of secure software
16,how:science:intervention,how,science,intervention,An experiment with students on the effectiveness of three creativity enhancement techniques to be used during requirements elicitation
17,how:engineering:method,how,engineering,method,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards
18,how:science:observation,how,science,observation,A case study for validating a multi-level approach for planning and managing variability and reuse across independent product ranges in a product family
19,how:engineering:method,how,engineering,method,A method for using low-effort ad-hoc videos as a concrete representation of early requirements in order to avoid misunderstandings in the early phases of a project
20,how:engineering:method,how,engineering,method,A method for building domain ontologies suitable to guide requirements elicitation in order to reconcile gaps in the knowledge and common understanding among stakeholders
21,how:science:interrogation,how,science,interrogation,An interview-based study for explaining the causes of an unsatisfactory RE process in a company in order to identify improvement points
22,how:science:observation,how,science,observation,An analysis on the integration of non-functional requirements into model-driven development processes in order to include this type of requirements into such processes
23,how:engineering:method,how,engineering,method,A method for systematically and repeatedly exchanging requirements between manufacturers and suppliers.
24,how:engineering:method,how,engineering,method,A method for formally representing requirements in order to facilitate their analysis and serve as basis for the testing process
25,how:science:observation,how,science,observation,A multi-case study on agile prioritization and business value delivery in order to empirically corroborate or contradict some common assumptions on agile practices
26,how:engineering:method,how,engineering,method,"A process for creating traceability links between safety requirements, safety taxonomies, and safety risks in order to assure and recertify legacy safety-critical systems"
27,how:engineering:method,how,engineering,method,A method for assessing the completeness of specification documents in order to avoid subjectiveness in such completeness assessment
28,how:perspective:experience,how,perspective,experience,An experience report on the value provided by requirements traceability in a commercial engineering company and a discussion of success factors
29,how:perspective:experience,how,perspective,experience,An experience report on the development of a simulation tool for the communication along requirements modelling.
30,how:perspective:experience,how,perspective,experience,An experience report on modeling a safety critical domain using a formal method in order to better understand its adequacy for domain engineering
31,how:engineering:method,how,engineering,method,A method for structuring a system so that critical requirements are localized in reliable subsets of its components in order to guarantee system's dependability largely by construction
32,how:science:observation,how,science,observation,"A document-driven study for refining, assessing and deriving lessons learned of a set of templates for requirements written in natural language"
