ID,Ifdn,Text,general,all industry,contextual,organizational,personal,not existing,scarce,difficult,unsatisfactory,adequate,plausible,on organization,on individual,Experience,not valid,not positive
2,116,Aligning requirements to regulatory standards is extremely important in many industry. Especially in the case when regulatory standards change. On the other hand establishing and maintaining trace-links is still cumbersume.,,1,,,,,,,1,,,,,,,
5,152,.,,,,,,,,,,,,,,,1,
8,94,In order to gain a better understanding from the key stakeholders and their requirements for the software development. It will ensure the stakeholders requirements are captured and can be followed as a marker for what needs to be produced/developed.,1,,,,,,,,,1,,,,,,
9,110,Ambiguities are a critical source of issues. An automatic double check could help.,1,,,,,,,,,,1,,,,,
10,32,A learning-by-example method is one of the most efficient tools allowing for decreasing the uncertainty in the future.,,,,,,,,,,1,,,,,,
10,148,"The more we know about a product, the more we can say about it. Existing experience can be taken as basis for a lessons learn and to identify changes that might be introduced in order to better design products in the future and to predict what can happen",,,,,,,,,,,,,1,,,
12,71,Benchmarks are the start of everything.,1,,,,,,,,,,,,,,,
13,27,Because uncertainty is where the trouble begins and the right adaptation strategies can reduce some sources of uncertainty which will always make the system better.,1,,,,,,,,,,1,,,,,
14,141,"These practices and artifacts are essential for our work, and are broadly applicable. Their ubiquity often means they are subject to unstated assumptions of their utility. Understanding how others have used them could provide insights into our own work.",,1,,,,,,,,,,,1,,,
17,10,"A many more automatical methods shall support and ease the work of RE. Especially for standardised requirements, security, safety, traceability analysis,etc.",,,,,,,,,1,1,,,,,,
18,92,"the title sounds like advanced RE and further problem-solving -> only few articles/literature exist, especially in this combination",1,,,,,,1,,,,,,,,,
22,28,non-functional reqs have the biggest impact on architecture and may not be left aside,1,,,,,,,,,,,,,,,
23,63,Personal experience shows that this exchange is both extremely helpful and rarely implemented systematically.,1,,,,,,1,,,,,,,1,,
24,31,"There is a constant need to capture both the articulated requirements from the Users, and to balance against the design by the analyst.",,1,,,,,,,,,,,,,,
24,55,"in my opinion, testing ist very important and shoulb be consider at the beginning of an study too.",1,,,,,,,,,,,,,,,
28,22,it will give me good reasones for RE that managers will understand,,,,,1,,,,,,,1,,,,
31,24,Focus and particular attention to critical reqs,1,,,,,,,,,,,,,,,
31,117,"This problem is not adressed in industry. However, almost everyone faces the problem.",,1,,,,1,,,,,,,,,,
44,102,Understanding the applicability of commonly used techniques in different contexts is always helpful as it sharpens the own perception.,,,,,,,,,,,,,1,,,
46,70,We are currently in this transition and there are major differences in working with requirements per method. I'd be interested in the results of this study,,,,1,,,,1,,,,,,,,
49,2,"In my experience, framing requirements as a constraint for a creative problem solving process yields better solutions. Any help with establishing and improving such practices will likely help the industry provide better solutions.",,1,,,,,,,1,1,,,,1,,
63,111,(Formal) Verification trough models (thus in my opinion: formal) at Runtime can drastically improve RE and SysE,,,,,,,,,,1,,,,,,
77,97,aren't they connected?,,,,,,,,,,,,,,,1,
82,66,I'm working in agile development environments. This items affects my work significantly.,,,1,,1,,,,,,,,,,,
82,81,Because of the conflict between complete requirements and fast requirements.,1,,,,,,,,,,,,,,,
85,135,"We learned in the undergrad classes that the learned techniques are used in high risk software, but I haven't seen how it is used in my day to day work. So, it would be interesting to know.",,,,,1,1,,,,,,,,,,
87,61,this comprises a serious problem in industry today,,1,,,,,,,,,,,,,,
