PaperID,Title,Authors,Venue,Year,NumberOfPages,AcadVsInd,IndTrack,Summary
1,Software traceability with topic modeling,"Hazeline U. Asuncion, Arthur U. Asuncion, Richard N. Taylor",ICSE,2010,10,Academic,No,"A method for automatically recovering software traceability links between various software artifacts based on topic modelling (requirements, design, code, bug reports, test cases)"
2,A machine learning approach for tracing regulatory codes to product specific requirements,"Jane Cleland-Huang, Adam Czauderna, Marek Gibiec, John Emenecker",ICSE,2010,10,Academic,No,A set of two techniques for improving the quality of traces generated between regulatory standards and product level requirements
3,StakeNet: Using Social Networks to Analyse the Stakeholders of Large-Scale Software Projects,"Soo Ling Lim, Daniele Quercia, Anthony Finkelstein",ICSE,2010,10,Academic,No,A case study on evaluating a given technique for identifying and prioritising stakeholders in order to involve the right stakeholders in system analysis
4,Formalization and validation of a subset of the European Train Control System,"Angelo Chiappini, Alessandro Cimatti, Luca Macchi, Oscar Rebollo, Marco Roveri, Angelo Susi, Stefano Tonetta, Berardino Vittorini",ICSE,2010,10,Mixed,Yes,An experience report on the development of a methodology and tools for the formalization and subsequent validation of specifications in a project for the public administration
5,Can clone detection support quality assessments of requirements specifications?,"Elmar Jürgens, Florian Deissenboeck, Martin Feilkas, Benjamin Hummel, Bernhard Schätz, Stefan Wagner, Christoph Domann, Jonathan Streit",ICSE,2010,10,Academic,Yes,A document-driven study on the relevancy of clones in industrial requirements specifications and of clone detection as a requirements quality assurance technique
6,Ambiguity in Natural Language Software Requirements: A Case Study,"de Bruijn, F.; Dekkers, H.L.",REFSQ,2010,14,Academic,No,A case study on the effects of a highly ambiguous requirements document on project success
7,On the Perception of Software Quality Requirements during the Project Lifecycle,"Ernst, N.A.; Mylopoulos, J.",REFSQ,2010,14,Academic,No,A data-driven study on the importance of quality requirements throughout the system lifecycle 
8,Challenges in Aligning Requirements Engineering and Verification in a Large-Scale Industrial Context,"Sabaliauskaite, G.; Loconsole, A.; Engstro¨m, E.; Unterkalmsteiner, M.; Regnell, B.; Runeson, P.; Gorschek, T.; Feldt, R.",REFSQ,2010,14,Academic,No,An interview-based study with practitioners for identifying key challenges in aligning requirements and verification processes in order to assure that the developed software product satisfies customer requirements
9,Ambiguity Detection: Towards a Tool Explaining Ambiguity Sources,"Gleich, B.; Creighton, O.; Kof, L.",REFSQ,2010,14,Mixed,No,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts
10,Evaluation of a Method for Proactively Managing the Evolving Scope of a Software Product Line,"Villela, K.; Dörr, J.; John, I.",REFSQ,2010,14,Academic,No,An experiment with practitioners for evaluating the adequacy and feasibility of an existing software product line design method in order to prepare software product lines for likely future adaptation needs
11,Supporting the Consistent Specification of Scenarios across Multiple Abstraction Levels,"Sikora, E.; Daun, M.; Pohl, K.",REFSQ,2010,14,Academic,No,A method for developing scenarios at multiple abstractions levels and check their consistency in order to specify complex software-intensive systems
12,Binary Priority List for Prioritizing Software Requirements,"Bebensee, T.; van de Weerd, I.; Brinkkemper, S.",REFSQ,2010,11,Academic,No,An industrial evaluation based on benchmarks for comparing and assessing the suitability of two requirements prioritization techniques
13,Understanding the Scope of Uncertainty in Dynamically Adaptive Systems,"Welsh, K.; Sawyer, P.",REFSQ,2010,14,Academic,No,A method for reasoning about likely sources of uncertainty in dynamically adaptive systems in order to apply the right adaptation strategies
14,"Lessons Learned from Integrating Specification Templates, Collaborative Workshops, and Peer Reviews","Komssi, M.; Kauppinen, M.; Toro, K.; Soikkeli, R.; Uusitalo, E.",REFSQ,2010,14,Mixed,No,"A case study for collecting lessons learned from integrating Specification Templates, Collaborative Workshops, and Peer Reviews in RE"
15,Visualizing Cyber Attacks with Misuse Case Maps,"Karpati, P.; Sindre, G.; Opdahl, A.L.",REFSQ,2010,13,Academic,No,A method for visualizing how cyber-attacks are performed in an architectural context in order to closely intertwine requirements and architecture in the development of secure software
16,Validation of the Effectiveness of an Optimized EPMcreate as an Aid for Creative Requirements Elicitation,"Sakhnini, V.; Berry, D.M.; Mich, L.",REFSQ,2010,14,Academic,No,An experiment with students on the effectiveness of three creativity enhancement techniques to be used during requirements elicitation 
17,Tackling Semi-automatic Trace Recovery for Large Specifications,"Leuser, J.; Ott, D.",REFSQ,2010,14,Industry,No,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards
