PaperID,PaperSummary,Tag
1,"A method for automatically recovering software traceability links between various software artifacts based on topic modelling (requirements, design, code, bug reports, test cases)",what:challenge:content_traceability
1,"A method for automatically recovering software traceability links between various software artifacts based on topic modelling (requirements, design, code, bug reports, test cases)",what:challenge:process_automation
1,"A method for automatically recovering software traceability links between various software artifacts based on topic modelling (requirements, design, code, bug reports, test cases)",what:documentation:artifacts
1,"A method for automatically recovering software traceability links between various software artifacts based on topic modelling (requirements, design, code, bug reports, test cases)",what:phase:management
2,A set of two techniques for improving the quality of traces generated between regulatory standards and product level requirements,what:challenge:content_traceability
2,A set of two techniques for improving the quality of traces generated between regulatory standards and product level requirements,what:challenge:context_regulation
2,A set of two techniques for improving the quality of traces generated between regulatory standards and product level requirements,what:challenge:process_improving
2,A set of two techniques for improving the quality of traces generated between regulatory standards and product level requirements,what:information:functional
3,A case study on evaluating a given technique for identifying and prioritising stakeholders in order to involve the right stakeholders in system analysis,what:challenge:process_prioritization
3,A case study on evaluating a given technique for identifying and prioritising stakeholders in order to involve the right stakeholders in system analysis,what:phase:elicitation
4,An experience report on the development of a methodology and tools for the formalization and subsequent validation of specifications in a project for the public administration,what:challenge:process_formalization
4,An experience report on the development of a methodology and tools for the formalization and subsequent validation of specifications in a project for the public administration,what:domain:sector_public
4,An experience report on the development of a methodology and tools for the formalization and subsequent validation of specifications in a project for the public administration,what:phase:evaluation
5,A document-driven study on the relevancy of clones in industrial requirements specifications and of clone detection as a requirements quality assurance technique,what:challenge:content_all
5,A document-driven study on the relevancy of clones in industrial requirements specifications and of clone detection as a requirements quality assurance technique,what:phase:specification
6,A case study on the effects of a highly ambiguous requirements document on project success,what:challenge:content_unambiguousness
7,A data-driven study on the importance of quality requirements throughout the system lifecycle,what:information:quality_all
8,An interview-based study with practitioners for identifying key challenges in aligning requirements and verification processes in order to assure that the developed software product satisfies customer requirements,what:phase:evaluation
9,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts,what:challenge:content_unambiguousness
9,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts,what:challenge:people_skills
9,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts,what:challenge:process_automation
9,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts,what:challenge:process_improving
9,A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts,what:documentation:naturallanguage
10,An experiment with practitioners for evaluating the adequacy and feasibility of an existing software product line design method in order to prepare software product lines for likely future adaptation needs,what:phase:management
11,A method for developing scenarios at multiple abstractions levels and check their consistency in order to specify complex software-intensive systems,what:domain:systemclass_complex
11,A method for developing scenarios at multiple abstractions levels and check their consistency in order to specify complex software-intensive systems,what:information:scenarios
11,A method for developing scenarios at multiple abstractions levels and check their consistency in order to specify complex software-intensive systems,what:phase:specification
12,An industrial evaluation based on benchmarks for comparing and assessing the suitability of two requirements prioritization techniques,what:challenge:process_prioritization
13,A method for reasoning about likely sources of uncertainty in dynamically adaptive systems in order to apply the right adaptation strategies,what:challenge:context_uncertainty
13,A method for reasoning about likely sources of uncertainty in dynamically adaptive systems in order to apply the right adaptation strategies,what:domain:systemclass_adaptive
13,A method for reasoning about likely sources of uncertainty in dynamically adaptive systems in order to apply the right adaptation strategies,what:phase:management
14,"A case study for collecting lessons learned from integrating Specification Templates, Collaborative Workshops, and Peer Reviews in RE",what:challenge:people_collaboration
14,"A case study for collecting lessons learned from integrating Specification Templates, Collaborative Workshops, and Peer Reviews in RE",what:challenge:process_standardization
15,A method for visualizing how cyber-attacks are performed in an architectural context in order to closely intertwine requirements and architecture in the development of secure software,what:challenge:process_visualization
15,A method for visualizing how cyber-attacks are performed in an architectural context in order to closely intertwine requirements and architecture in the development of secure software,what:information:architecture
15,A method for visualizing how cyber-attacks are performed in an architectural context in order to closely intertwine requirements and architecture in the development of secure software,what:information:quality_security
16,An experiment with students on the effectiveness of three creativity enhancement techniques to be used during requirements elicitation,what:challenge:people_skills
16,An experiment with students on the effectiveness of three creativity enhancement techniques to be used during requirements elicitation,what:phase:elicitation
17,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards,what:challenge:content_traceability
17,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards,what:challenge:context_regulation
17,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards,what:challenge:process_automation
17,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards,what:documentation:naturallanguage
17,A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards,what:phase:management
18,A case study for validating a multi-level approach for planning and managing variability and reuse across independent product ranges in a product family,what:challenge:process_standardization
