lfdn,lfdn_original,v_5,v_6,v_11,v_118,v_119,v_120,v_121,v_12,v_14,v_15,v_16,v_19,v_124,v_5_6_integrated,v_15_16_integrated,v_11_coded,v_19_coded
0,106,Other (please specify),Researcher,4,not quoted,not quoted,quoted,not quoted,Yes,Small (1-4),Hybrid / mix of embedded systems and information systems,NotAnswered,Automotive,Italy,Researcher,Hybrid / mix of embedded systems and information systems,4.0,Automotive
1,131,Developer,NotAnswered,1,quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,education,Belgium,Developer,(Business) information systems,1.0,Education
2,139,Other (please specify),Product Management Coach,10,quoted,quoted,quoted,not quoted,No,Medium (5-10),Other (please specify),Customer facing software products,Wide range (from automotive supplier to insurance company),Germany,Coach,Consumer Software,10.0,Multiple Sectors
3,153,Business Analyst,NotAnswered,10,quoted,quoted,quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,Public administration,Spain,Business Analyst,(Business) information systems,10.0,Public Sector
4,156,Business Analyst,NotAnswered,15,quoted,not quoted,not quoted,not quoted,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,Telecommunications,Ecuador,Business Analyst,Hybrid / mix of embedded systems and information systems,15.0,ICT
5,158,Requirements Engineer,NotAnswered,10 years,not quoted,quoted,not quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,Heathcare ,Canada,Requirements Engineer,(Business) information systems,10.0,Healthcare
6,160,Other (please specify),NotAnswered,25,quoted,quoted,quoted,not quoted,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,Education,United States,Other,Hybrid / mix of embedded systems and information systems,25.0,Education
7,171,Requirements Engineer,NotAnswered,50,quoted,not quoted,quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,"administration, pharmaceutical, goverment",Denmark,Requirements Engineer,(Business) information systems,50.0,Multiple Sectors
8,173,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",15,quoted,quoted,not quoted,not quoted,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Germany,Consultant,Software-intensive embedded systems,15.0,Multiple Sectors
9,194,Requirements Engineer,NotAnswered,> 20,quoted,quoted,quoted,not quoted,Yes,Larger (10-49),Software-intensive embedded systems,NotAnswered,RE and QA consulting in different industries,Germany,Requirements Engineer,Software-intensive embedded systems,20.0,Multiple Sectors
10,197,Requirements Engineer,NotAnswered,10,quoted,not quoted,not quoted,not quoted,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,Automotive and Biotech Engineering,Germany,Requirements Engineer,Hybrid / mix of embedded systems and information systems,10.0,Multiple Sectors
11,204,Requirements Engineer,NotAnswered,30+,quoted,not quoted,quoted,not quoted,No,Very large (50+),(Business) information systems,NotAnswered,Financial services,Switzerland,Requirements Engineer,(Business) information systems,30.0,Financial Services
12,207,Project Manager,NotAnswered,2,quoted,not quoted,not quoted,not quoted,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,Robotics,Greece,Project Manager,Hybrid / mix of embedded systems and information systems,2.0,Robotics
13,216,Other (please specify),Enterprise Systems of Systems researcher (automotive cybersecurity),1,quoted,not quoted,quoted,not quoted,Yes,Small (1-4),Software-intensive embedded systems,NotAnswered,Automotive,United Kingdom,Researcher,Software-intensive embedded systems,1.0,Automotive
14,220,Business Analyst,NotAnswered,10,not quoted,quoted,quoted,not quoted,Yes,Small (1-4),(Business) information systems,NotAnswered,Public ,Kuwait,Business Analyst,(Business) information systems,10.0,Public Sector
15,221,Business Analyst,NotAnswered,5,quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,"Banking and Finance (Brokerage), Training courses",Germany,Business Analyst,Software-intensive embedded systems,5.0,Financial Services
16,224,Requirements Engineer,NotAnswered,3,quoted,not quoted,not quoted,not quoted,No,Medium (5-10),Hybrid / mix of embedded systems and information systems,NotAnswered,Medicine,Germany,Requirements Engineer,Hybrid / mix of embedded systems and information systems,3.0,Healthcare
17,226,Project Manager,NotAnswered,46.6,not quoted,quoted,not quoted,not quoted,No,Medium (5-10),Hybrid / mix of embedded systems and information systems,NotAnswered,Higher Education IT support,United States,Project Manager,Hybrid / mix of embedded systems and information systems,46.6,Education
18,229,Requirements Engineer,NotAnswered,5,quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,Automotive,India,Requirements Engineer,Software-intensive embedded systems,5.0,Automotive
19,235,Requirements Engineer,NotAnswered,2,not quoted,quoted,not quoted,not quoted,No,Medium (5-10),(Business) information systems,NotAnswered,Public sector,Romania,Requirements Engineer,(Business) information systems,2.0,Public Sector
20,238,Architect,NotAnswered,10,quoted,quoted,quoted,not quoted,Yes,Medium (5-10),Hybrid / mix of embedded systems and information systems,NotAnswered,Industrial Systems ,-- Please make a Selection --,Architect,Hybrid / mix of embedded systems and information systems,10.0,Industrial Automation
21,240,Other (please specify),"Changing with different jobs, RE, Architect, Developer ",16,quoted,quoted,quoted,not quoted,No,Medium (5-10),Other (please specify),"Different, consumer platforms, mobile Apps etc.",Financing,Germany,Multiple Roles,Consumer Software,16.0,Financial Services
22,243,Requirements Engineer,NotAnswered,5,quoted,not quoted,not quoted,not quoted,No,Medium (5-10),(Business) information systems,NotAnswered,energy trading,Germany,Requirements Engineer,(Business) information systems,5.0,Energy
23,244,Requirements Engineer,NotAnswered,10,not quoted,quoted,not quoted,not quoted,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,Embedded Systems in industrial envirionment (automation),Germany,Requirements Engineer,Software-intensive embedded systems,10.0,Industrial Automation
24,245,Requirements Engineer,NotAnswered,15,quoted,quoted,quoted,not quoted,Yes,Very large (50+),Other (please specify),Aeronautics ,Aeronatics Defence Space,France,Requirements Engineer,Software-intensive embedded systems,15.0,Aeronautics
25,246,Project Manager,NotAnswered,7,not quoted,quoted,not quoted,not quoted,No,Larger (10-49),Software-intensive embedded systems,NotAnswered,it varies,United States,Project Manager,Software-intensive embedded systems,7.0,Multiple Sectors
26,247,Product Owner,NotAnswered,15,quoted,quoted,quoted,not quoted,No,Medium (5-10),(Business) information systems,NotAnswered,"Transportation, Logistics",Germany,Product Owner,(Business) information systems,15.0,Transportation
