,lfdn,v_18,v_1373
0,106,NotAnswered,NotAnswered
1,131,NotAnswered,NotAnswered
2,139,Building of economic models for comparing and prioritizing requirements.   Predicting the business impact of future software capabilities.   Observing user behaviour and connecting it to previous and future requirements.   Visualising requirements and business goals and their interconnections.   Deriving requirements from business goals.   Formally proving the adherence of a system to non-functional requirements. ,It would have been easier to rate the research topics if longer descriptions had been available. 
3,153,NotAnswered,NotAnswered
4,156,"I think that the community is to focused in producing short term results for scientific publications. In general, experiments are fictitious and irrelevant, and conducted in very controlled environments. I think that research shall move towards conducting large experiments in the industry and present the results of the application of methods and notations in more real non-controlled environments. I currently see the RE community as a very closed family in which novel ideas are not welcomed.  Same authors on same topics year after year, with very little chance for real experiences to be presented. ",NotAnswered
5,158,Find better ways for healthcare practitioners/IT to be aware of and involved in requirements activities.,NotAnswered
6,160,Reducing ambiguity that arises from unexplicated conflict,NotAnswered
7,171,"Study real-life projects and identify issues that actually caused problems. Then find out how better requirments could have helped. Much research deals with internal consistency of requirements, formalisms, etc. In my experience, this is not where the problems are.",NotAnswered
8,173,"1) Derive Software Requirements from System Requirements. I do not know any proper, research based method which guide people in the industry here!  2) A research based guidance how to treat the different categories of requirements (not the levels!!!). E.g. a process requirement will have not traceability into the technical implementation etc.  3) A research based argumentation where and when natural language requirements are useful and where not",Relationship between Requirements and Testing  Checklists to get good requirements  Economically impacts of different RE Methods
9,194,I would say: Please analyze the documentation of our past projects to find subsystems and conditions where requirements were unstable and erroneous.     NOTE: I doubt that managers would give access to such documentation or that they would be happy to know that the causes of problems were not some technical issues but incompetent people or wrong planing decisions. ,1. Each company has some RE processes and people that follow them. The amount of experts is always limited and their time is very valuable.     Most improvements attempts I have seen did not consider ROI and risks of process changes.      2. Considering the way I have received the link to your study I doubt that people that would answer your questionnaire are a statistical representative sample. 
10,197,"(Semi)-Automated support for standard RE activities. A many more automatical methods shall support and ease the work of RE. Especially for standardised requirements, security, safety, traceability analysis,etc. ",NotAnswered
11,204,Develop methods for extracting familiar ideas from the documented requirements and stakeholders' comments and transforming informal stakeholder requests into formal requirements.,Do you involve active practioners of requirements engineering in the studies?
12,207,Understanding and staying within the scope of the system,NotAnswered
13,216,Modelling the enterprise that is responsible for creating the product.,Would be interesting to have links to the research referenced by the questions. Some of it sounds interesting and relevant and I'd like to know more.
14,220,NotAnswered,NotAnswered
15,221,What related effort and thereforce produced costs do we have when we are establishing professional RE in a kind of  standard project ? Measure this essential will provide us in comparison in a  non-RE  project what qualitiy improvements and cost reduction we can actually obtain,NotAnswered
16,224,,
17,226,"Develop elicitation tools that function like video games, so that respondant thinks about the requirements in terms of why they need the requirement to 'win her/his game'",Prioritizing Requirements based on source documented in the Traceability Matrix
18,229,NotAnswered,NotAnswered
19,235,NotAnswered,NotAnswered
20,238,How to define the right granularity of requirements -  are there any guidelines for different phases of the project? ,NotAnswered
21,240,"Easy way to document features exact and unambigously, perhaps build in templates in requirements documentation software, perhaps better automated checks on consistency and disambuigity.",NotAnswered
22,243,"RE should be teached at any university, may be by practitioners",NotAnswered
23,244,Sichere Merkmale zur Typisierung von Requirements  erarbeiten,NotAnswered
24,245,NotAnswered,NotAnswered
25,246,NotAnswered,NotAnswered
26,247,"They should know the customer side (even hidden stakeholders), Keep a professional distance to requirements and Analyse them to the bone, Keep an open mind that requirements can be just the top of an iceberg with 80% not covered by defined requirements; to let them enjoy my professional guidance, I would recommend them to let me know their negative experiences.",NotAnswered
27,253,Stakeholder participation,NotAnswered
28,262,"a clear and precise description and analysis of the problem domain  focus on the problems and the benefits, why these problems should be solved  what is needed to solve the problem on a higher level of abstraction","supposed there would be an overall agreed knowledge about best practise in requirements engineering, who can companies adopt these knowledge?  Usually nobody wants to spent money for establishing methods and tools.  Often people somehow know, how they should act to get good results, but they fail in convincing their leaders to get the time to change old processes and so they stick to the old fashioned way of quick and dirty processes. you know the story of the woodworker, telling  I don't have time to sharpen the saw, I'm busy sawing! "
29,268,NotAnswered,NotAnswered
30,269,Industry standards that are conveyed to the E-level so that they see the value of requirements.  It seems to be a constant fight in many companies I have consulted with to pay for the time to properly gather and maintain requirements.,NotAnswered
31,282,"I think one of the main areas of concern is hearing the voice of the user, overcoming the problem of the user's failing to adequately articulate their needs.  This would include interdisciplinary research in the fields of cognitive psychology, decision analysis (e.g., Decision Trees), software design (problem definition).",NotAnswered
32,285,Make sure that the identified user needs are both comprehensive in a sense of covering both explicit and implicit scenarios and well aligned with the business goals.,NotAnswered
