lfdn,v_11,v_11_coded
106,4,4.0
131,1,1.0
139,10,10.0
153,10,10.0
156,15,15.0
158,10 years,10.0
160,25,25.0
171,50,50.0
173,15,15.0
194,> 20,20.0
197,10,10.0
204,30+,30.0
207,2,2.0
216,1,1.0
220,10,10.0
221,5,5.0
224,3,3.0
226,46.6,46.6
229,5,5.0
235,2,2.0
238,10,10.0
240,16,16.0
243,5,5.0
244,10,10.0
245,15,15.0
246,7,7.0
247,15,15.0
253,21,21.0
262,15 years,15.0
268,six years,6.0
269,15.8,15.8
282,15 Years,15.0
285,7,7.0
286,10,10.0
291,20+,20.0
292,12,12.0
296,4,4.0
298,4,4.0
299,1,1.0
301,7,7.0
306,8,8.0
308,11,11.0
310,Since 1996.,22.0
320,35,35.0
326,20,20.0
327,2,2.0
328,20,20.0
341,2.5,2.5
342,15 years,15.0
343,17,17.0
346,20,20.0
347,1 year as requirment engineer in software but about 8 years as a designer,9.0
349,4,4.0
354,5,5.0
363,11,11.0
369,3,3.0
370,2,2.0
371,10,10.0
372,20,20.0
374,17,17.0
375,5,5.0
376,25,25.0
380,4,4.0
383,5,5.0
387,6,6.0
389,30,30.0
395,5,5.0
399,20,20.0
400,9,9.0
405,2,2.0
409,8,8.0
411,30,30.0
415,12,12.0
416,20,20.0
418,12,12.0
423,4,4.0
438,20,20.0
442,5,5.0
445,30,30.0
446,7,7.0
447,7,7.0
448,4,4.0
454,One year.,1.0
461,5,5.0
463,10,10.0
466,5,5.0
475,10,10.0
479,3,3.0
484,11,11.0
490,1 year,1.0
494,5,5.0
500,6,6.0
510,14,14.0
511,4,4.0
512,1.5,1.5
515,15,15.0
523,3,3.0
525,10,10.0
526,5,5.0
541,2,2.0
544,20,20.0
545,17 years in software R&D,17.0
552,20 years,20.0
555,12,12.0
561,About 8 years,8.0
563,20,20.0
565,10,10.0
571,20,20.0
572,15,15.0
576,20,20.0
577,13,13.0
578,3,3.0
579,3 y,3.0
582,20,20.0
585,11,11.0
589,5,5.0
590,2,2.0
593,3,3.0
597,"1 year as a line manager, 5 years in a system role in agile development work",6.0
618,10 years,10.0
620,25,25.0
625,20,20.0
634,10,10.0
638,37,37.0
642,4,4.0
643,1,1.0
650,13,13.0
666,7,7.0
682,Since 2014,4.0
716,10,10.0
772,8,8.0
774,About 2 years.,2.0
775,3,3.0
784,2,2.0
792,six years,6.0
852,4,4.0
866,4years,4.0
872,4,4.0
881,14,14.0
885,5,5.0
890,13,13.0
906,18,18.0
915,20,20.0
919,2,2.0
922,"4,5",4.5
930,45,45.0
939,30,30.0
944,2.5,2.5
965,8,8.0
995,13,13.0
1015,10,10.0
1024,20,20.0
1027,3,3.0
1029,7,7.0
