lfdn,v_11
106,4
131,1
139,10
153,10
156,15
158,10 years
160,25
171,50
173,15
194,> 20
197,10
204,30+
207,2
216,1
220,10
221,5
224,3
226,46.6
229,5
235,2
238,10
240,16
243,5
244,10
245,15
246,7
247,15
253,21
262,15 years
268,six years
269,15.8
282,15 Years
285,7
286,10
291,20+
292,12
296,4
298,4
299,1
301,7
306,8
308,11
310,Since 1996.
320,35
326,20
327,2
328,20
341,2.5
342,15 years
343,17
346,20
347,1 year as requirment engineer in software but about 8 years as a designer
349,4
354,5
363,11
369,3
370,2
371,10
372,20
374,17
375,5
376,25
380,4
383,5
387,6
389,30
395,5
399,20
400,9
405,2
409,8
411,30
415,12
416,20
418,12
423,4
438,20
442,5
445,30
446,7
447,7
448,4
454,One year.
461,5
463,10
466,5
475,10
479,3
484,11
490,1 year
494,5
500,6
510,14
511,4
512,1.5
515,15
523,3
525,10
526,5
541,2
544,20
545,17 years in software R&D
552,20 years
555,12
561,About 8 years
563,20
565,10
571,20
572,15
576,20
577,13
578,3
579,3 y
582,20
585,11
589,5
590,2
593,3
597,"1 year as a line manager, 5 years in a system role in agile development work"
618,10 years
620,25
625,20
634,10
638,37
642,4
643,1
650,13
666,7
682,Since 2014
716,10
772,8
774,About 2 years.
775,3
784,2
792,six years
852,4
866,4years
872,4
881,14
885,5
890,13
906,18
915,20
919,2
922,"4,5"
930,45
939,30
944,2.5
965,8
995,13
1015,10
1024,20
1027,3
1029,7
